184;223;70;125;12;246;325
181;222;70;125;12;245;324
183;222;70;125;13;245;325
177;222;70;125;14;245;324
183;223;70;130;15;247;324
181;222;70;128;14;247;323
183;222;70;128;15;247;324
177;222;70;128;15;247;324
179;221;70;127;19;245;323
182;221;70;129;19;246;324
181;221;70;129;19;246;321
183;221;70;129;19;246;306
186;224;70;132;41;248;326
184;222;70;132;22;246;325
183;222;70;132;23;246;326
187;225;68;130;29;248;324
184;224;68;124;26;244;329
181;224;68;122;27;243;327
174;217;70;145;39;235;316
185;218;68;138;38;244;319
181;216;68;138;39;241;315
184;217;68;138;38;241;323
182;217;68;138;39;241;319
182;217;68;138;40;241;320
183;219;68;144;39;243;317
182;219;68;144;16;243;314
181;219;68;144;16;243;315
184;219;68;144;16;243;315
181;219;68;144;17;243;315
190;234;71;144;28;259;324
184;216;65;135;29;243;327
184;216;65;135;30;243;327
185;216;65;135;30;243;326
182;216;65;135;30;243;325
182;216;66;135;35;243;317
182;217;65;142;41;242;317
185;217;65;147;39;242;316
184;217;65;148;39;240;308
181;218;65;137;35;239;320
184;218;64;137;26;239;321
184;217;65;137;26;241;320
184;217;65;137;21;241;320
175;217;65;137;13;241;325
178;217;65;137;14;241;321
183;220;65;137;20;244;327
183;220;65;137;30;244;327
179;220;65;137;34;244;327
183;228;65;130;31;247;327
181;228;65;130;29;247;327
177;219;65;144;39;239;326
181;220;65;145;39;241;328
185;225;65;138;31;245;250
186;227;65;140;31;246;328
182;223;65;136;32;243;329
182;223;65;136;33;243;323
186;222;65;136;31;243;258
183;220;65;136;32;243;234
186;220;65;136;31;243;234
183;220;65;136;28;241;253
188;220;70;138;26;246;262
183;220;70;138;20;246;274
183;220;70;138;23;248;328
184;220;70;138;23;248;329
183;220;70;137;23;247;329
179;220;71;137;39;246;327
181;222;65;152;36;245;323
180;222;65;152;37;245;317
185;222;65;153;36;245;319
184;222;65;153;35;244;320
180;222;65;153;35;243;320
176;218;65;150;25;235;321
178;218;65;150;24;235;323
179;220;66;138;33;245;312
182;220;64;140;38;246;302
181;220;65;143;41;246;299
186;222;67;145;42;247;302
174;213;65;140;22;239;289
171;210;65;140;23;237;290
166;210;65;140;14;233;289
185;222;65;145;22;245;295
180;220;65;142;27;244;315
179;220;65;149;46;242;297
182;217;69;161;35;242;259
174;215;69;154;24;232;256
179;221;67;149;20;242;323
182;222;67;153;30;242;325
179;215;70;139;40;243;292
183;215;61;153;36;245;284
184;215;60;149;24;242;321
178;215;60;149;21;239;320
183;215;60;149;26;243;320
187;218;60;151;33;248;320
190;218;60;151;35;248;320
185;218;60;152;35;247;320
185;223;62;153;38;246;319
184;223;62;153;35;245;324
183;223;61;153;33;245;323
187;222;62;152;32;243;323
181;222;62;147;34;241;327
185;222;62;147;34;241;326
178;218;62;146;32;242;326
181;218;62;146;35;243;327
180;218;62;146;34;243;327
185;218;62;146;34;243;327
181;218;62;146;32;241;327
182;217;63;146;35;240;327
184;215;69;155;32;244;274
183;215;69;156;35;245;273
186;215;69;157;27;245;296
185;215;69;157;31;245;317
182;217;68;155;20;245;313
185;215;69;155;26;246;316
182;213;71;153;23;244;293
174;204;69;148;35;233;272
181;219;68;142;34;239;259
179;218;68;142;34;239;259
177;218;68;142;31;239;259
180;220;68;144;27;242;261
177;220;68;144;27;244;316
184;220;68;144;29;247;331
183;220;68;144;36;247;292
177;212;72;152;41;242;288
183;210;68;156;32;240;286
183;214;68;156;28;243;286
178;212;68;145;21;238;308
175;212;68;143;23;238;311
176;211;68;138;30;234;312
180;220;71;147;36;242;271
184;220;71;148;35;245;271
186;220;71;148;37;246;269
186;220;71;148;36;246;270
182;220;71;148;24;246;317
181;220;71;148;25;246;322
180;220;71;148;26;246;324
179;220;71;148;25;246;325
182;222;71;147;29;249;322
180;220;65;144;26;246;324
182;220;65;144;36;246;326
183;216;65;147;27;246;327
183;216;65;147;29;246;325
184;216;65;147;25;245;325
181;216;65;147;25;245;324
186;214;71;152;31;246;280
184;217;70;152;26;246;311
183;215;70;152;24;244;312
179;214;70;152;17;240;307
181;214;70;152;20;242;307
181;214;70;152;20;241;313
181;213;70;152;21;241;312
178;213;70;152;21;241;313
